"","FechaInicio","Delito","Categoria","Sexo","Edad","CalidadJuridica","FechaHecho","HoraHecho","HoraInicio","geopoint","AlcaldiaHechos","ColoniaHechos","persona_fisica"
"546","23/12/2019","FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO","DELITO DE BAJO IMPACTO","Femenino",29,"VICTIMA Y DENUNCIANTE","18/12/2019",18:30:00,19:54:00,"19.3800745685,-99.0189337104","IZTAPALAPA","SANTA MARTHA ACATITLA NORTE",TRUE
"547","23/12/2019","ABUSO DE CONFIANZA","DELITO DE BAJO IMPACTO","Femenino",22,"VICTIMA Y DENUNCIANTE","23/12/2019",12:00:00,19:59:00,"19.4168763459,-99.0641349426","IZTACALCO","AGRÍCOLA PANTITLAN",TRUE
"548","23/12/2019","PERDIDA DE LA VIDA POR SUICIDIO EN EL METRO","HECHO NO DELICTIVO","Masculino",NA,"CADAVER","23/12/2019",18:40:00,20:00:00,"19.4074421406,-99.0825107865","VENUSTIANO CARRANZA","PUEBLA",TRUE
"549","23/12/2019","LESIONES INTENCIONALES POR GOLPES","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","23/12/2019",19:40:00,20:04:00,"19.4489850961,-99.1399162002","CUAUHTEMOC","GUERRERO",TRUE
"550","23/12/2019","ROBO A NEGOCIO SIN VIOLENCIA","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","23/12/2019",17:25:00,20:13:00,"19.4336420023,-99.1381359997","CUAUHTEMOC","CENTRO",FALSE
"551","23/12/2019","ACOSO SEXUAL","DELITO DE BAJO IMPACTO","Femenino",22,"VICTIMA Y DENUNCIANTE","18/12/2019",17:30:00,20:20:00,"19.4316926953,-99.1883045","MIGUEL HIDALGO","POLANCO",TRUE
"552","23/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",27,"VICTIMA Y DENUNCIANTE","23/12/2019",16:30:00,20:40:00,"19.3803953985,-99.2346925997","ALVARO OBREGON","LA MEXICANA",TRUE
"553","23/12/2019","FALSIFICACION DE DOCUMENTOS","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","15/11/2019",12:00:00,20:41:00,"19.4212108958,-99.1495658","CUAUHTEMOC","DOCTORES",TRUE
"554","23/12/2019","ROBO A NEGOCIO SIN VIOLENCIA","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","23/12/2019",19:38:00,20:53:00,"19.3692919598,-99.165624395","BENITO JUAREZ","SANTA CRUZ ATOYAC",FALSE
"555","23/12/2019","FRAUDE","DELITO DE BAJO IMPACTO","Femenino",78,"VICTIMA Y DENUNCIANTE","23/12/2019",13:30:00,20:55:00,"19.43476474,-99.1515495112","CUAUHTEMOC","TABACALERA",TRUE
"556","23/12/2019","NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","23/12/2019",20:45:00,21:06:00,"19.4791542969,-99.1460166362","GUSTAVO A MADERO","MAGDALENA DE LAS SALINAS",FALSE
"557","23/12/2019","ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO","DELITO DE BAJO IMPACTO","Femenino",52,"VICTIMA Y DENUNCIANTE","21/12/2019",15:30:00,21:09:00,"19.3279022389,-99.0361536914","IZTAPALAPA","DESARROLLO URBANO QUETZALCOATL",TRUE
